<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
18/09/18,110280.0,110280.0,110260.0,110260.0
18/09/18,110260.0,110270.0,110240.0,110250.0
18/09/18,110250.0,110320.0,110240.0,110300.0
18/09/18,110300.0,110320.0,110250.0,110310.0
18/09/18,110320.0,110350.0,110320.0,110330.0
18/09/18,110320.0,110320.0,110280.0,110290.0
18/09/18,110290.0,110300.0,110250.0,110280.0
18/09/18,110290.0,110290.0,110220.0,110240.0
18/09/18,110240.0,110240.0,110190.0,110190.0
18/09/18,110190.0,110230.0,110140.0,110200.0
18/09/18,110200.0,110220.0,110150.0,110170.0
18/09/18,110170.0,110170.0,110150.0,110170.0
18/09/18,110180.0,110200.0,110160.0,110200.0
18/09/18,110180.0,110200.0,110160.0,110190.0
18/09/18,110180.0,110180.0,110140.0,110150.0
18/09/18,110150.0,110150.0,110100.0,110110.0
18/09/18,110100.0,110120.0,110090.0,110100.0
18/09/18,110100.0,110100.0,110050.0,110070.0
18/09/18,110070.0,110080.0,110060.0,110080.0
18/09/18,110080.0,110110.0,110080.0,110110.0
18/09/18,110160.0,110190.0,110150.0,110180.0
18/09/18,110190.0,110200.0,110160.0,110180.0
18/09/18,110200.0,110270.0,110200.0,110230.0
18/09/18,110270.0,110280.0,110240.0,110260.0
18/09/18,110260.0,110270.0,110220.0,110230.0
18/09/18,110230.0,110240.0,110230.0,110240.0
18/09/18,110250.0,110300.0,110240.0,110280.0
18/09/18,110290.0,110300.0,110280.0,110300.0
18/09/18,110310.0,110360.0,110310.0,110340.0
18/09/18,110360.0,110370.0,110310.0,110330.0
18/09/18,110320.0,110350.0,110310.0,110310.0
18/09/18,110320.0,110330.0,110300.0,110310.0
18/09/18,110320.0,110340.0,110300.0,110340.0
18/09/18,110340.0,110350.0,110320.0,110330.0
18/09/18,110320.0,110320.0,110290.0,110290.0
18/09/18,110290.0,110310.0,110290.0,110290.0
18/09/18,110300.0,110360.0,110290.0,110330.0
18/09/18,110350.0,110360.0,110350.0,110350.0
18/09/18,110350.0,110370.0,110310.0,110320.0
18/09/18,110330.0,110330.0,110310.0,110330.0
18/09/18,110330.0,110330.0,110250.0,110290.0
18/09/18,110300.0,110300.0,110260.0,110290.0
18/09/18,110300.0,110310.0,110300.0,110300.0
18/09/18,110310.0,110320.0,110300.0,110310.0
18/09/18,110300.0,110300.0,110270.0,110280.0
18/09/18,110280.0,110290.0,110260.0,110260.0
18/09/18,110270.0,110310.0,110260.0,110300.0
18/09/18,110310.0,110340.0,110300.0,110340.0
18/09/18,110340.0,110340.0,110290.0,110300.0
18/09/18,110300.0,110330.0,110280.0,110330.0
18/09/18,110330.0,110370.0,110320.0,110360.0
18/09/18,110370.0,110380.0,110340.0,110340.0
18/09/18,110350.0,110400.0,110350.0,110390.0
18/09/18,110390.0,110420.0,110370.0,110390.0
18/09/18,110400.0,110400.0,110360.0,110370.0
18/09/18,110370.0,110370.0,110340.0,110360.0
18/09/18,110360.0,110370.0,110330.0,110340.0
18/09/18,110360.0,110370.0,110320.0,110360.0
18/09/18,110360.0,110360.0,110330.0,110330.0
18/09/18,110330.0,110330.0,110310.0,110330.0
18/09/18,110330.0,110370.0,110290.0,110290.0
18/09/18,110280.0,110310.0,110260.0,110300.0
18/09/18,110300.0,110350.0,110290.0,110350.0
18/09/18,110340.0,110350.0,110330.0,110340.0
18/09/18,110350.0,110360.0,110330.0,110340.0
18/09/18,110350.0,110370.0,110340.0,110360.0
18/09/18,110360.0,110440.0,110360.0,110440.0
18/09/18,110430.0,110490.0,110430.0,110440.0
18/09/18,110440.0,110460.0,110430.0,110450.0
18/09/18,110440.0,110470.0,110400.0,110410.0
18/09/18,110410.0,110420.0,110380.0,110380.0
